product_id,external_id,title,brand,category,subcategory,url,source,price_current,price_original,currency,discount_pct,has_discount,rating_score,reviews_count,availability,description,images_count,first_image,tags,scraped_at
acf5c3a3-f731-4ee1-a7fd-a169e6f34572,5228670673168,Tefal Blender Pro,Tefal,Home,,https://www.amazon.com/product/tefal-blender-pro-1,amazon,1247.18,,USD,,False,3.7,159,limited,Designed to simplify your daily routine without compromising on quality.,1,https://cdn.amazon.example/img/5228670673168.jpg,amazon|home,2026-03-24T09:53:48.791418
eb7a1be6-0a81-4e64-b329-50fed5b5a6dd,3558089246696,Hot Wheels Puzzle Lite,Hot,Toys,,https://www.amazon.com/product/hot-wheels-puzzle-lite-2,amazon,582.9,,USD,,False,4.2,343,in_stock,A versatile product suitable for a wide range of applications and users.,1,https://cdn.amazon.example/img/3558089246696.jpg,amazon|toys,2026-03-22T10:07:30.545863
f57216bb-c1cd-49ea-9bb1-f765a20a5b6c,1874514912160,Unilever Heavy Duty Granola Pro,Unilever,Food,,https://www.amazon.com/product/unilever-heavy-duty-granola-pro-3,amazon,1892.98,,USD,,False,3.3,410,in_stock,Combining modern aesthetics with functional engineering for discerning users.,1,https://cdn.amazon.example/img/1874514912160.jpg,amazon|food,2026-03-27T13:11:57.616332
445701e7-d58b-4b38-aff8-8303c26b6a72,6495792381962,Nike Advanced Cycling Helmet Pro,Nike,Sports,,https://www.amazon.com/product/nike-advanced-cycling-helmet-pro-4,amazon,2019.44,,USD,,False,,0,in_stock,Designed to simplify your daily routine without compromising on quality.,1,https://cdn.amazon.example/img/6495792381962.jpg,amazon|sports,2026-03-24T19:38:21.574816
151d3845-b221-46d8-bd1e-6fd6dfa24d16,9343474666093,Bosch Portable Air Freshener,Bosch,Automotive,,https://www.amazon.com/product/bosch-portable-air-freshener-5,amazon,1488.34,,USD,,False,4.3,319,out_of_stock,A versatile product suitable for a wide range of applications and users.,1,https://cdn.amazon.example/img/9343474666093.jpg,amazon|automotive,2026-03-14T07:21:40.333893
f345bd2a-375c-4f92-ad09-e666138f377f,8821926312745,Philips Lamp 2024,Philips,Home,,https://www.amazon.com/product/philips-lamp-2024-6,amazon,1986.7,2483.38,USD,20.0,True,4.2,192,in_stock,A trusted choice for professionals and enthusiasts alike.,1,https://cdn.amazon.example/img/8821926312745.jpg,amazon|home,2026-03-14T02:14:08.434398
0560876f-1389-4746-91bd-bbbb0827dab7,7040648872041,Kellogg's Portable Olive Oil Max,Kellogg's,Food,,https://www.amazon.com/product/kellogg-s-portable-olive-oil-max-7,amazon,823.5,,USD,,False,2.9,232,in_stock,Combining modern aesthetics with functional engineering for discerning users.,1,https://cdn.amazon.example/img/7040648872041.jpg,amazon|food,2026-03-17T05:17:16.491342
3f41ae05-3d8b-4b30-b14e-e95f1ea6e35a,7776443977377,NGK Dash Camera Lite,NGK,Automotive,,https://www.amazon.com/product/ngk-dash-camera-lite-8,amazon,355.65,409.0,USD,13.0,True,4.8,86,in_stock,"Compact form, powerful results — an ideal solution for modern lifestyles.",1,https://cdn.amazon.example/img/7776443977377.jpg,amazon|automotive,2026-03-23T09:35:32.353105
68680d0a-7e07-4f2c-8254-fe3d3cdb9278,0887010385339,Random House Complete Guide Lite,Random,Books,,https://www.amazon.com/product/random-house-complete-guide-lite-9,amazon,747.21,,USD,,False,2.7,102,out_of_stock,Designed to simplify your daily routine without compromising on quality.,1,https://cdn.amazon.example/img/0887010385339.jpg,amazon|books,2026-03-18T12:37:26.588957
e6309779-b578-4999-8c8e-6d422b5255d4,8805952500356,Flymo Soil Mix Max,Flymo,Garden,,https://www.amazon.com/product/flymo-soil-mix-max-10,amazon,591.73,739.66,USD,20.0,True,3.7,88,in_stock,A versatile product suitable for a wide range of applications and users.,1,https://cdn.amazon.example/img/8805952500356.jpg,amazon|garden,2026-03-16T23:36:02.868131
